Source,Target,Type
Smart_lock,Lock_(security_device),Directed
Smart_lock,Smartphone,Directed
Smart_lock,Keycard_lock,Directed
Smart_lock,Wi-Fi,Directed
Smart_lock,Smart_doorbell,Directed
Smart_lock,Transport_Layer_Security,Directed
Identity_theft,Fingerprint,Directed
Identity_theft,Password,Directed
DEF_CON,Wi-Fi,Directed
DEF_CON,Cybersecurity_and_Infrastructure_Security_Agency,Directed
ASIS_International,Physical_security,Directed
Personnel,Company,Directed
GitHub,Access_control,Directed
Ant_colony,Australia,Directed
Fire_protection,Fire,Directed
Fire_protection,System,Directed
Fire_protection,Building,Directed
Herd_mentality,Collective_intelligence,Directed
Risk_factor_(computing),Vulnerability_(computing),Directed
Payment,Service_(economics),Directed
Payment,Money,Directed
Liability_(financial_accounting),Asset,Directed
Liability_(financial_accounting),Bank,Directed
Mechanics,Ancient_Greek_language,Directed
Mechanics,Machine,Directed
Systems_thinking,Collective_intelligence,Directed
Systems_thinking,Collective_action,Directed
Systems_thinking,Self-organized_criticality,Directed
Systems_thinking,Herd_mentality,Directed
Systems_thinking,Phase_transition,Directed
Systems_thinking,Agent-based_model,Directed
Systems_thinking,Synchronization,Directed
Systems_thinking,Ant_colony_optimization_algorithms,Directed
Systems_thinking,Particle_swarm_optimization,Directed
Systems_thinking,Swarm_behaviour,Directed
Systems_thinking,Social_network_analysis,Directed
Systems_thinking,Small-world_network,Directed
Systems_thinking,Centrality,Directed
Systems_thinking,Network_motif,Directed
Systems_thinking,Graph_theory,Directed
Systems_thinking,Scalability,Directed
Systems_thinking,Systems_biology,Directed
Systems_thinking,Dynamic_network_analysis,Directed
Systems_thinking,Evolutionary_computation,Directed
Systems_thinking,Genetic_algorithm,Directed
Attack_(computing),CIA_triad,Directed
Attack_(computing),Software_bug,Directed
Attack_(computing),Hacktivist,Directed
Attack_(computing),Malware,Directed
Attack_(computing),Identity_theft,Directed
Attack_(computing),Cyberwarfare,Directed
Attack_(computing),Ransomware,Directed
Attack_(computing),Software_bugs,Directed
Attack_(computing),Hardware_bug,Directed
Attack_(computing),Vulnerability_(computing),Directed
Attack_(computing),Software_patch,Directed
Attack_(computing),Zero-day_(computing),Directed
Attack_(computing),Code_injection,Directed
Attack_(computing),Hardening_(computing),Directed
Attack_(computing),Risk_assessment,Directed
Attack_(computing),Active_defense,Directed
Attack_(computing),Cyber_resilience,Directed
Attack_(computing),Micro-segmentation,Directed
Attack_(computing),Zero_trust,Directed
Attack_(computing),Business_continuity_planning,Directed
Ross_Ashby,Cybernetics,Directed
Ross_Ashby,Norbert_Wiener,Directed
Ross_Ashby,Systems_theory,Directed
Power_delivery,Consumer,Directed
Service_drop,Electric_power_distribution,Directed
Service_drop,Utility_pole,Directed
Perimeter_intrusion_detection,Security_lighting,Directed
Academic_discipline,Systems_theory,Directed
Chemical_substance,Phase_transition,Directed
Base_station,3G,Directed
Base_station,4G,Directed
Base_station,5G,Directed
Closed_system,Isolated_system,Directed
Closed_system,Thermodynamics,Directed
Closed_system,Time,Directed
Razor_wire,Germany,Directed
Wireless,Bluetooth,Directed
Consumer,Service_(economics),Directed
Consumer,Capitalism,Directed
Foreign_direct_investment,World_Bank,Directed
Foreign_direct_investment,Bond_(finance),Directed
Key-agreement_protocol,Key_(cryptography),Directed
