Id,Label,PageRank_Score
The_Open_Group,The Open Group,0.0013412388232565868
Smart_lock,Smart lock,0.002636625463889026
Identity_theft,Identity theft,0.0013676660172511313
Graph_theory,Graph theory,0.008901124646670677
DEF_CON,DEF CON,0.0013069530874154488
ASIS_International,ASIS International,0.0016086228608895715
Personnel,Personnel,0.0012534323468561923
Durable_goods,Durable goods,0.0014675808623422213
Aircraft,Aircraft,0.001857848411795374
GitHub,GitHub,0.001356225098740471
Fingerprint,Fingerprint,0.002417587886401779
Ant_colony,Ant colony,0.0021172874646438
Media_theory,Media theory,0.0013248775173845195
Fire_protection,Fire protection,0.001579792619143195
Herd_mentality,Herd mentality,0.0019139892482255918
Risk_factor_(computing),Risk factor (computing),0.0013412388232565868
Payment,Payment,0.002074737323747836
Liability_(financial_accounting),Liability (financial accounting),0.002142445489340766
Estonia,Estonia,0.0013069530874154488
Software,Software,0.005396575225028246
Mechanics,Mechanics,0.0016083515814726648
Ukraine,Ukraine,0.0023725246295155863
Systems_thinking,Systems thinking,0.0012534323468561923
Beaver_dam,Beaver dam,0.0013036951599913272
Egypt,Egypt,0.004188551897682087
Attack_(computing),Attack (computing),0.0013412388232565868
US_Department_of_Homeland_Security,US Department of Homeland Security,0.001356225098740471
Thomas_Jefferson,Thomas Jefferson,0.001926488000232231
Ross_Ashby,Ross Ashby,0.0013248775173845195
Software_bug,Software bug,0.003382728878954057
Access_control,Access control,0.0036561518768139446
Bluetooth,Bluetooth,0.010300993851288817
Machine,Machine,0.003285632409877251
Power_delivery,Power delivery,0.0015271109077513076
Integrity,Integrity,0.0013412388232565868
Service_drop,Service drop,0.0015271109077513076
Perimeter_intrusion_detection,Perimeter intrusion detection,0.001579792619143195
Intention,Intention,0.0013412388232565868
Academic_discipline,Academic discipline,0.002721599607487716
Chemical_substance,Chemical substance,0.0013036951599913272
Base_station,Base station,0.0016086228608895715
Algorithm,Algorithm,0.008655236187288626
Wireless_Sensor_Networks,Wireless Sensor Networks,0.0012534323468561923
Closed_system,Closed system,0.0021271821751516376
Razor_wire,Razor wire,0.001579792619143195
Wireless,Wireless,0.005255149722127284
Consumer,Consumer,0.0027658473903829145
Foreign_direct_investment,Foreign direct investment,0.0013128777158802462
Key-agreement_protocol,Key-agreement protocol,0.0015509136270759664
Smart_device,Smart device,0.0012512637021032868
Domain_Name_System_Security_Extensions,Domain Name System Security Extensions,0.0013255382736667596
Arc_lamp,Arc lamp,0.0017434886624247566
Salt_(cryptography),Salt (cryptography),0.0027300261290238623
Jeh_Johnson,Jeh Johnson,0.0013069530874154488
Structure,Structure,0.002433666337607983
Nonbuilding_structure,Nonbuilding structure,0.0019571883870397183
